Auction ID,Heading,Location,Bank Name,Reserve Price,Auction Date
61882,House in Ludhiana,"Ludhiana, Punjab",Punjab National Bank,"₹2,00,00,000",14/07/2025
61883,House in Ludhiana,"Ludhiana, Punjab",Punjab National Bank,"₹1,63,00,000",14/07/2025
61884,Factory Land and Building and Residential Land in Focal Point,"Focal Point, Ludhiana, Punjab",Punjab National Bank,"₹4,32,00,000",14/07/2025
61901,House for Sale,"Kuda Kuda, Suryapet, Telangana",JM Financial Asset Reconstruction Company,"₹34,57,310",14/07/2025
61909,Flat for Sale,"Budvel, Ranga Reddy, Telangana",JM Financial Asset Reconstruction Company,"₹25,85,000",14/07/2025
61915,House for Sale,"Moosarambagh, Hyderabad, Telangana",Canfin,"₹60,10,000",14/07/2025
61918,Plot for Sale,"Siddapur, Hyderabad, Telangana",Repco Home Finance,"₹59,26,000",14/07/2025
61921,Industrial Land with Shed for Sale,"Kolanoor Revenue Village, Peddapalli, Telangana",UGRO Capital Bank,"₹31,46,000",14/07/2025
61961,House in Vakia Rakba,"Vakia Rakba, Amritsar, Punjab",JM Financial Asset Reconstruction Company,"₹16,82,010",14/07/2025
61980,"Flat in Padappai, Kancheepuram","Kanchipuram, Tamil Nadu",State Bank of India,"₹25,00,000",14/07/2025
61981,"Land and Building in Killiyoor, Kanyakumari","Kanyakumari, Tamil Nadu",Canara Bank,"₹30,78,000",14/07/2025
61982,"Plot in Kalkulam Village, Kanyakumari","Kanyakumari, Tamil Nadu",Canara Bank,"₹13,60,000",14/07/2025
61983,"Land in Thirunanthikarai, Kanyakumari","Kanyakumari, Tamil Nadu",Canara Bank,"₹12,00,000",14/07/2025
61985,"Land and Building in Vikramasingapuram, Tirunelveli","Tirunelveli, Tamil Nadu",Canara Bank,"₹41,92,000",14/07/2025
61990,"Land and Building in Mettu Edaiyampatti, Vellore","Vellore, Tamil Nadu",Union Bank Of India,"₹34,00,000",14/07/2025
62785,"House in Khokhra-Mahemdavad, Ahmedabad","Ahmedabad, Gujarat",Ujjivan small finance bank,"₹21,36,000",14/07/2025
62788,"Plot in Jitali, Bharuch","Bharuch, Gujarat",Ujjivan small finance bank,"₹10,27,000",14/07/2025
62790,"Flat in Vastral, Ahmedabad","Ahmedabad, Gujarat",Ujjivan small finance bank,"₹24,17,000",14/07/2025
62792,"Land in Valapura, Mahesana","Mehsana, Gujarat",Ujjivan small finance bank,"₹11,65,000",14/07/2025
62794,"House in Kakarkhad, Kheda","Kheda, Gujarat",Ujjivan small finance bank,"₹13,06,000",14/07/2025
62803,"Flat in Vatva, Ahmedabad","Ahmedabad, Gujarat",JM Financial Asset Reconstruction Company,"₹12,08,250",14/07/2025
